="",="stats_1",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_nostag_rp9_tvc_1",="22287",=".",="-67530.5",="63",="135187",="135691.7"
="m_nostag_rp10_tvc_1",="22287",=".",="-67529.81",="64",="135187.6",="135700.4"
="m_nostag_rp9_tvc_3",="22287",=".",="-67527.84",="67",="135189.7",="135726.5"
="m_nostag_rp9_tvc_2",="22287",=".",="-67529.91",="65",="135189.8",="135710.6"
="m_nostag_rp10_tvc_3",="22287",=".",="-67527.16",="68",="135190.3",="135735.1"
="m_nostag_rp8_tvc_1",="22287",=".",="-67533.17",="62",="135190.3",="135687.1"
="m_nostag_rp10_tvc_2",="22287",=".",="-67529.21",="66",="135190.4",="135719.2"
="m_nostag_rp9_tvc_4",="22287",=".",="-67527.58",="69",="135193.2",="135746"
="m_nostag_rp8_tvc_3",="22287",=".",="-67530.59",="66",="135193.2",="135722"
="m_nostag_rp8_tvc_2",="22287",=".",="-67532.59",="64",="135193.2",="135705.9"
="m_nostag_rp7_tvc_1",="22287",=".",="-67535.59",="61",="135193.2",="135681.9"
="m_nostag_rp10_tvc_4",="22287",=".",="-67526.87",="70",="135193.7",="135754.6"
="m_nostag_rp9_tvc_5",="22287",=".",="-67526.61",="71",="135195.2",="135764.1"
="m_nostag_rp9_tvc_6",="22287",=".",="-67524.93",="73",="135195.9",="135780.7"
="m_nostag_rp10_tvc_5",="22287",=".",="-67525.94",="72",="135195.9",="135772.7"
="m_nostag_rp7_tvc_2",="22287",=".",="-67535.02",="63",="135196",="135700.8"
="m_nostag_rp7_tvc_3",="22287",=".",="-67533.04",="65",="135196.1",="135716.8"
="m_nostag_rp10_tvc_6",="22287",=".",="-67524.27",="74",="135196.5",="135789.4"
="m_nostag_rp8_tvc_4",="22287",=".",="-67530.27",="68",="135196.5",="135741.3"
="m_nostag_rp6_tvc_1",="22287",=".",="-67538.93",="60",="135197.9",="135678.6"
="m_nostag_rp8_tvc_6",="22287",=".",="-67527.1",="72",="135198.2",="135775"
="m_nostag_rp8_tvc_5",="22287",=".",="-67529.25",="70",="135198.5",="135759.3"
="m_nostag_rp7_tvc_4",="22287",=".",="-67532.63",="67",="135199.3",="135736"
="m_nostag_rp9_tvc_7",="22287",=".",="-67524.75",="75",="135199.5",="135800.4"
="m_nostag_rp7_tvc_5",="22287",=".",="-67531.19",="69",="135200.4",="135753.2"
="m_nostag_rp10_tvc_7",="22287",=".",="-67524.21",="76",="135200.4",="135809.3"
="m_nostag_rp7_tvc_6",="22287",=".",="-67529.21",="71",="135200.4",="135769.3"
="m_nostag_rp6_tvc_3",="22287",=".",="-67536.32",="64",="135200.6",="135713.4"
