="",="stats_3",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m2_stipw_nostag_rp10_tvcdf7",="2375",=".",="-11867.71",="19",="23773.42",="23883.1"
="m2_stipw_nostag_rp8_tvcdf7",="2375",=".",="-11870.81",="17",="23775.62",="23873.75"
="m2_stipw_nostag_rp7_tvcdf7",="2375",=".",="-11876.31",="16",="23784.62",="23876.98"
="m2_stipw_nostag_rp8_tvcdf4",="2375",=".",="-11879.3",="14",="23786.6",="23867.42"
="m2_stipw_nostag_rp8_tvcdf6",="2375",=".",="-11877.85",="16",="23787.71",="23880.07"
="m2_stipw_nostag_rp8_tvcdf5",="2375",=".",="-11879.47",="15",="23788.95",="23875.54"
="m2_stipw_nostag_rp10_tvcdf6",="2375",=".",="-11876.85",="18",="23789.69",="23893.6"
="m2_stipw_nostag_rp10_tvcdf4",="2375",=".",="-11879.32",="16",="23790.65",="23883.01"
="m2_stipw_nostag_rp9_tvcdf7",="2375",=".",="-11877.61",="18",="23791.21",="23895.12"
="m2_stipw_nostag_rp10_tvcdf5",="2375",=".",="-11879.71",="17",="23793.41",="23891.55"
="m2_stipw_nostag_rp7_tvcdf6",="2375",=".",="-11881.74",="15",="23793.49",="23880.08"
="m2_stipw_nostag_rp8_tvcdf3",="2375",=".",="-11884.11",="13",="23794.21",="23869.26"
="m2_stipw_nostag_rp4_tvcdf6",="2375",=".",="-11885.21",="12",="23794.42",="23863.69"
="m2_stipw_nostag_rp4_tvcdf7",="2375",=".",="-11884.35",="13",="23794.71",="23869.75"
="m2_stipw_nostag_rp5_tvcdf7",="2375",=".",="-11884.16",="14",="23796.31",="23877.13"
="m2_stipw_nostag_rp5_tvcdf4",="2375",=".",="-11887.96",="11",="23797.92",="23861.42"
="m2_stipw_nostag_rp4_tvcdf4",="2375",=".",="-11889.09",="10",="23798.18",="23855.9"
="m2_stipw_nostag_rp10_tvcdf3",="2375",=".",="-11884.28",="15",="23798.55",="23885.14"
="m2_stipw_nostag_rp5_tvcdf6",="2375",=".",="-11886.41",="13",="23798.81",="23873.86"
="m2_stipw_nostag_rp5_tvcdf5",="2375",=".",="-11887.94",="12",="23799.89",="23869.16"
="m2_stipw_nostag_rp7_tvcdf4",="2375",=".",="-11886.94",="13",="23799.89",="23874.93"
="m2_stipw_nostag_rp9_tvcdf6",="2375",=".",="-11882.95",="17",="23799.89",="23898.03"
="m2_stipw_nostag_rp6_tvcdf6",="2375",=".",="-11886.03",="14",="23800.07",="23880.89"
="m2_stipw_nostag_rp4_tvcdf5",="2375",=".",="-11889.58",="11",="23801.15",="23864.65"
="m2_stipw_nostag_rp9_tvcdf4",="2375",=".",="-11885.68",="15",="23801.35",="23887.94"
="m2_stipw_nostag_rp6_tvcdf7",="2375",=".",="-11885.71",="15",="23801.43",="23888.02"
="m2_stipw_nostag_rp6_tvcdf4",="2375",=".",="-11889.07",="12",="23802.14",="23871.41"
="m2_stipw_nostag_rp7_tvcdf5",="2375",=".",="-11888.34",="14",="23804.68",="23885.5"
="m2_stipw_nostag_rp9_tvcdf5",="2375",=".",="-11886.34",="16",="23804.69",="23897.05"
="m2_stipw_nostag_rp6_tvcdf5",="2375",=".",="-11889.67",="13",="23805.33",="23880.38"
="m2_stipw_nostag_rp8_tvcdf1",="2375",=".",="-11892.12",="11",="23806.24",="23869.74"
="m2_stipw_nostag_rp8_tvcdf2",="2375",=".",="-11891.38",="12",="23806.76",="23876.03"
="m2_stipw_nostag_rp5_tvcdf3",="2375",=".",="-11893.72",="10",="23807.43",="23865.16"
="m2_stipw_nostag_rp7_tvcdf3",="2375",=".",="-11892.95",="12",="23809.9",="23879.18"
="m2_stipw_nostag_rp9_tvcdf3",="2375",=".",="-11891.19",="14",="23810.38",="23891.2"
="m2_stipw_nostag_rp4_tvcdf3",="2375",=".",="-11896.2",="9",="23810.4",="23862.36"
="m2_stipw_nostag_rp6_tvcdf3",="2375",=".",="-11894.33",="11",="23810.67",="23874.17"
="m2_stipw_nostag_rp10_tvcdf1",="2375",=".",="-11892.72",="13",="23811.43",="23886.48"
="m2_stipw_nostag_rp10_tvcdf2",="2375",=".",="-11891.92",="14",="23811.84",="23892.65"
="m2_stipw_nostag_rp3_tvcdf7",="2375",=".",="-11897.13",="12",="23818.25",="23887.53"
="m2_stipw_nostag_rp3_tvcdf3",="2375",=".",="-11901.83",="8",="23819.67",="23865.85"
="m2_stipw_nostag_rp3_tvcdf6",="2375",=".",="-11898.91",="11",="23819.81",="23883.31"
="m2_stipw_nostag_rp3_tvcdf4",="2375",=".",="-11901.46",="9",="23820.91",="23872.87"
="m2_stipw_nostag_rp3_tvcdf5",="2375",=".",="-11900.56",="10",="23821.12",="23878.84"
="m2_stipw_nostag_rp5_tvcdf1",="2375",=".",="-11902.71",="8",="23821.42",="23867.6"
="m2_stipw_nostag_rp5_tvcdf2",="2375",=".",="-11901.73",="9",="23821.45",="23873.41"
="m2_stipw_nostag_rp4_tvcdf1",="2375",=".",="-11904.19",="7",="23822.38",="23862.79"
="m2_stipw_nostag_rp4_tvcdf2",="2375",=".",="-11903.24",="8",="23822.47",="23868.65"
="m2_stipw_nostag_rp9_tvcdf1",="2375",=".",="-11899.72",="12",="23823.44",="23892.71"
="m2_stipw_nostag_rp9_tvcdf2",="2375",=".",="-11898.81",="13",="23823.63",="23898.67"
="m2_stipw_nostag_rp7_tvcdf1",="2375",=".",="-11901.95",="10",="23823.91",="23881.63"
="m2_stipw_nostag_rp7_tvcdf2",="2375",=".",="-11900.98",="11",="23823.96",="23887.46"
="m2_stipw_nostag_rp6_tvcdf2",="2375",=".",="-11902.52",="10",="23825.05",="23882.77"
="m2_stipw_nostag_rp6_tvcdf1",="2375",=".",="-11903.54",="9",="23825.07",="23877.03"
="m2_stipw_nostag_rp3_tvcdf1",="2375",=".",="-11910.58",="6",="23833.15",="23867.79"
="m2_stipw_nostag_rp3_tvcdf2",="2375",=".",="-11909.86",="7",="23833.73",="23874.14"
="m2_stipw_nostag_rp2_tvcdf7",="2375",=".",="-11907.13",="11",="23836.26",="23899.76"
