="",="stats_1",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_nostag_rp9_tvc_1",="5144",=".",="-21757.07",="61",="43636.14",="44035.42"
="m_nostag_rp8_tvc_1",="5144",=".",="-21758.2",="60",="43636.39",="44029.13"
="m_nostag_rp7_tvc_1",="5144",=".",="-21759.37",="59",="43636.74",="44022.93"
="m_nostag_rp6_tvc_1",="5144",=".",="-21760.67",="58",="43637.34",="44016.98"
="m_nostag_rp10_tvc_1",="5144",=".",="-21757.03",="62",="43638.06",="44043.89"
="m_nostag_rp9_tvc_2",="5144",=".",="-21756.79",="63",="43639.58",="44051.96"
="m_nostag_rp8_tvc_2",="5144",=".",="-21757.92",="62",="43639.83",="44045.66"
="m_nostag_rp7_tvc_2",="5144",=".",="-21759.09",="61",="43640.19",="44039.47"
="m_nostag_rp6_tvc_2",="5144",=".",="-21760.38",="60",="43640.77",="44033.5"
="m_nostag_rp10_tvc_2",="5144",=".",="-21756.76",="64",="43641.52",="44060.43"
="m_nostag_rp9_tvc_3",="5144",=".",="-21756.26",="65",="43642.51",="44067.97"
="m_nostag_rp8_tvc_3",="5144",=".",="-21757.41",="64",="43642.83",="44061.74"
="m_nostag_rp9_tvc_4",="5144",=".",="-21754.57",="67",="43643.14",="44081.7"
="m_nostag_rp5_tvc_1",="5144",=".",="-21764.62",="57",="43643.24",="44016.34"
="m_nostag_rp7_tvc_3",="5144",=".",="-21758.64",="63",="43643.28",="44055.65"
="m_nostag_rp7_tvc_4",="5144",=".",="-21756.79",="65",="43643.58",="44069.04"
="m_nostag_rp8_tvc_4",="5144",=".",="-21755.84",="66",="43643.68",="44075.68"
="m_nostag_rp6_tvc_3",="5144",=".",="-21759.86",="62",="43643.73",="44049.55"
="m_nostag_rp6_tvc_4",="5144",=".",="-21758.05",="64",="43644.1",="44063.02"
="m_nostag_rp10_tvc_3",="5144",=".",="-21756.2",="66",="43644.4",="44076.41"
="m_nostag_rp10_tvc_4",="5144",=".",="-21754.56",="68",="43645.13",="44090.23"
="m_nostag_rp7_tvc_5",="5144",=".",="-21756.11",="67",="43646.23",="44084.78"
="m_nostag_rp5_tvc_4",="5144",=".",="-21760.17",="63",="43646.33",="44058.7"
="m_nostag_rp5_tvc_2",="5144",=".",="-21764.33",="59",="43646.66",="44032.85"
="m_nostag_rp9_tvc_5",="5144",=".",="-21754.58",="69",="43647.16",="44098.81"
="m_nostag_rp8_tvc_5",="5144",=".",="-21755.72",="68",="43647.44",="44092.54"
="m_nostag_rp6_tvc_5",="5144",=".",="-21757.76",="66",="43647.52",="44079.52"
="m_nostag_rp7_tvc_6",="5144",=".",="-21755.01",="69",="43648.02",="44099.66"
="m_nostag_rp9_tvc_6",="5144",=".",="-21753.26",="71",="43648.52",="44113.26"
="m_nostag_rp10_tvc_5",="5144",=".",="-21754.49",="70",="43648.98",="44107.18"
="m_nostag_rp8_tvc_6",="5144",=".",="-21754.55",="70",="43649.11",="44107.3"
="m_nostag_rp5_tvc_3",="5144",=".",="-21763.88",="61",="43649.77",="44049.05"
="m_nostag_rp6_tvc_6",="5144",=".",="-21757.19",="68",="43650.38",="44095.48"
="m_nostag_rp10_tvc_6",="5144",=".",="-21753.66",="72",="43651.32",="44122.61"
="m_nostag_rp8_tvc_7",="5144",=".",="-21753.79",="72",="43651.57",="44122.86"
="m_nostag_rp5_tvc_6",="5144",=".",="-21758.92",="67",="43651.85",="44090.4"
="m_nostag_rp4_tvc_6",="5144",=".",="-21760.08",="66",="43652.16",="44084.17"
="m_nostag_rp4_tvc_1",="5144",=".",="-21770.09",="56",="43652.17",="44018.72"
="m_nostag_rp9_tvc_7",="5144",=".",="-21753.93",="73",="43653.87",="44131.69"
="m_nostag_rp7_tvc_7",="5144",=".",="-21755.94",="71",="43653.87",="44118.61"
="m_nostag_rp5_tvc_5",="5144",=".",="-21761.98",="65",="43653.96",="44079.42"
="m_nostag_rp3_tvc_6",="5144",=".",="-21762.51",="65",="43655.02",="44080.49"
="m_nostag_rp10_tvc_7",="5144",=".",="-21753.55",="74",="43655.1",="44139.48"
="m_nostag_rp5_tvc_7",="5144",=".",="-21758.63",="69",="43655.26",="44106.9"
="m_nostag_rp4_tvc_2",="5144",=".",="-21769.79",="58",="43655.58",="44035.23"
="m_nostag_rp4_tvc_7",="5144",=".",="-21759.84",="68",="43655.67",="44100.77"
="m_nostag_rp6_tvc_7",="5144",=".",="-21758.02",="70",="43656.04",="44114.24"
="m_nostag_rp4_tvc_3",="5144",=".",="-21768.68",="60",="43657.37",="44050.1"
="m_nostag_rp3_tvc_7",="5144",=".",="-21761.88",="67",="43657.77",="44096.32"
="m_nostag_rp3_tvc_5",="5144",=".",="-21766.48",="63",="43658.95",="44071.33"
="m_nostag_rp4_tvc_4",="5144",=".",="-21767.59",="62",="43659.19",="44065.01"
="m_nostag_rp4_tvc_5",="5144",=".",="-21766.02",="64",="43660.03",="44078.95"
="m_nostag_rp3_tvc_1",="5144",=".",="-21775.13",="55",="43660.27",="44020.28"
="m_nostag_rp2_tvc_6",="5144",=".",="-21766.69",="64",="43661.38",="44080.3"
="m_nostag_rp3_tvc_2",="5144",=".",="-21774.88",="57",="43663.75",="44036.85"
="m_nostag_rp2_tvc_7",="5144",=".",="-21766.22",="66",="43664.44",="44096.45"
="m_nostag_rp2_tvc_5",="5144",=".",="-21770.5",="62",="43665",="44070.82"
="m_nostag_rp3_tvc_4",="5144",=".",="-21771.89",="61",="43665.79",="44065.07"
="m_nostag_rp3_tvc_3",="5144",=".",="-21774.34",="59",="43666.68",="44052.87"
="m_nostag_rp2_tvc_4",="5144",=".",="-21774.53",="60",="43669.06",="44061.8"
="m_nostag_rp1_tvc_6",="5144",=".",="-21772.89",="63",="43671.79",="44084.16"
="m_nostag_rp2_tvc_3",="5144",=".",="-21778.81",="58",="43673.62",="44053.26"
="m_nostag_rp1_tvc_7",="5144",=".",="-21772.46",="65",="43674.92",="44100.38"
="m_nostag_rp1_tvc_5",="5144",=".",="-21776.8",="61",="43675.61",="44074.89"
="m_nostag_rp1_tvc_4",="5144",=".",="-21780.69",="59",="43679.37",="44065.56"
="m_nostag_rp1_tvc_3",="5144",=".",="-21784.58",="57",="43683.16",="44056.26"
="m_nostag_rp2_tvc_1",="5144",=".",="-21793.26",="54",="43694.51",="44047.98"
="m_nostag_rp2_tvc_2",="5144",=".",="-21792.81",="56",="43697.61",="44064.16"
="m_nostag_rp1_tvc_2",="5144",=".",="-21798.7",="55",="43707.4",="44067.41"
="m_nostag_rp1_tvc_1",="5144",=".",="-21858.33",="53",="43822.65",="44169.57"
