="",="stats_1",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_nostag_rp9_tvc_1",="20171",=".",="-61040.37",="63",="122206.7",="122705.2"
="m_nostag_rp10_tvc_1",="20171",=".",="-61039.46",="64",="122206.9",="122713.3"
="m_nostag_rp9_tvc_2",="20171",=".",="-61039.69",="65",="122209.4",="122723.7"
="m_nostag_rp10_tvc_2",="20171",=".",="-61038.78",="66",="122209.6",="122731.7"
="m_nostag_rp9_tvc_3",="20171",=".",="-61037.85",="67",="122209.7",="122739.8"
="m_nostag_rp8_tvc_1",="20171",=".",="-61042.95",="62",="122209.9",="122700.4"
="m_nostag_rp10_tvc_3",="20171",=".",="-61036.96",="68",="122209.9",="122747.9"
="m_nostag_rp7_tvc_1",="20171",=".",="-61044.67",="61",="122211.3",="122694"
="m_nostag_rp8_tvc_2",="20171",=".",="-61042.27",="64",="122212.5",="122718.9"
="m_nostag_rp8_tvc_3",="20171",=".",="-61040.47",="66",="122212.9",="122735.1"
="m_nostag_rp9_tvc_4",="20171",=".",="-61037.6",="69",="122213.2",="122759.1"
="m_nostag_rp10_tvc_4",="20171",=".",="-61036.69",="70",="122213.4",="122767.2"
="m_nostag_rp7_tvc_2",="20171",=".",="-61044",="63",="122214",="122712.5"
="m_nostag_rp7_tvc_3",="20171",=".",="-61042.21",="65",="122214.4",="122728.7"
="m_nostag_rp6_tvc_1",="20171",=".",="-61047.27",="60",="122214.5",="122689.3"
="m_nostag_rp9_tvc_5",="20171",=".",="-61036.84",="71",="122215.7",="122777.4"
="m_nostag_rp10_tvc_5",="20171",=".",="-61036",="72",="122216",="122785.7"
="m_nostag_rp8_tvc_4",="20171",=".",="-61040.17",="68",="122216.3",="122754.3"
="m_nostag_rp6_tvc_2",="20171",=".",="-61046.6",="62",="122217.2",="122707.7"
="m_nostag_rp6_tvc_3",="20171",=".",="-61044.75",="64",="122217.5",="122723.9"
="m_nostag_rp7_tvc_4",="20171",=".",="-61041.79",="67",="122217.6",="122747.7"
="m_nostag_rp9_tvc_6",="20171",=".",="-61036.16",="73",="122218.3",="122795.9"
="m_nostag_rp10_tvc_6",="20171",=".",="-61035.31",="74",="122218.6",="122804.1"
="m_nostag_rp8_tvc_5",="20171",=".",="-61039.35",="70",="122218.7",="122772.5"
="m_nostag_rp7_tvc_5",="20171",=".",="-61040.58",="69",="122219.2",="122765.1"
