="",="stats_4",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m3_stipw_nostag_rp6_tvcdf7",="18462",=".",="-47734.17",="15",="95498.33",="95615.68"
="m3_stipw_nostag_rp5_tvcdf3",="18462",=".",="-47739.22",="10",="95498.43",="95576.67"
="m3_stipw_nostag_rp5_tvcdf7",="18462",=".",="-47735.51",="14",="95499.01",="95608.54"
="m3_stipw_nostag_rp4_tvcdf7",="18462",=".",="-47737.07",="13",="95500.14",="95601.85"
="m3_stipw_nostag_rp10_tvcdf3",="18462",=".",="-47735.13",="15",="95500.27",="95617.62"
="m3_stipw_nostag_rp8_tvcdf3",="18462",=".",="-47737.18",="13",="95500.36",="95602.07"
="m3_stipw_nostag_rp10_tvcdf7",="18462",=".",="-47731.19",="19",="95500.38",="95649.03"
="m3_stipw_nostag_rp8_tvcdf7",="18462",=".",="-47733.22",="17",="95500.45",="95633.45"
="m3_stipw_nostag_rp5_tvcdf4",="18462",=".",="-47739.32",="11",="95500.64",="95586.69"
="m3_stipw_nostag_rp3_tvcdf7",="18462",=".",="-47738.35",="12",="95500.71",="95594.59"
="m3_stipw_nostag_rp8_tvcdf6",="18462",=".",="-47734.45",="16",="95500.91",="95626.09"
="m3_stipw_nostag_rp7_tvcdf3",="18462",=".",="-47738.46",="12",="95500.91",="95594.79"
="m3_stipw_nostag_rp7_tvcdf7",="18462",=".",="-47734.67",="16",="95501.33",="95626.51"
="m3_stipw_nostag_rp9_tvcdf7",="18462",=".",="-47732.67",="18",="95501.34",="95642.16"
="m3_stipw_nostag_rp9_tvcdf3",="18462",=".",="-47736.76",="14",="95501.51",="95611.04"
="m3_stipw_nostag_rp5_tvcdf5",="18462",=".",="-47738.9",="12",="95501.8",="95595.68"
="m3_stipw_nostag_rp5_tvcdf1",="18462",=".",="-47742.98",="8",="95501.96",="95564.54"
="m3_stipw_nostag_rp10_tvcdf6",="18462",=".",="-47733.05",="18",="95502.1",="95642.92"
="m3_stipw_nostag_rp6_tvcdf3",="18462",=".",="-47740.08",="11",="95502.17",="95588.23"
="m3_stipw_nostag_rp4_tvcdf5",="18462",=".",="-47740.11",="11",="95502.22",="95588.28"
="m3_stipw_nostag_rp10_tvcdf4",="18462",=".",="-47735.18",="16",="95502.36",="95627.54"
="m3_stipw_nostag_rp4_tvcdf3",="18462",=".",="-47742.19",="9",="95502.38",="95572.79"
="m3_stipw_nostag_rp3_tvcdf5",="18462",=".",="-47741.25",="10",="95502.5",="95580.74"
="m3_stipw_nostag_rp8_tvcdf4",="18462",=".",="-47737.26",="14",="95502.53",="95612.06"
="m3_stipw_nostag_rp5_tvcdf2",="18462",=".",="-47742.45",="9",="95502.91",="95573.32"
="m3_stipw_nostag_rp5_tvcdf6",="18462",=".",="-47738.49",="13",="95502.97",="95604.68"
="m3_stipw_nostag_rp7_tvcdf4",="18462",=".",="-47738.6",="13",="95503.21",="95604.91"
="m3_stipw_nostag_rp7_tvcdf6",="18462",=".",="-47736.62",="15",="95503.24",="95620.59"
="m3_stipw_nostag_rp9_tvcdf6",="18462",=".",="-47734.68",="17",="95503.37",="95636.37"
="m3_stipw_nostag_rp9_tvcdf4",="18462",=".",="-47736.8",="15",="95503.61",="95620.96"
="m3_stipw_nostag_rp6_tvcdf6",="18462",=".",="-47737.85",="14",="95503.7",="95613.23"
="m3_stipw_nostag_rp8_tvcdf5",="18462",=".",="-47736.87",="15",="95503.74",="95621.09"
