="",="stats_3",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m2_stipw_nostag_rp10_tvcdf6",="9955",=".",="-35416.5",="18",="70869",="70998.71"
="m2_stipw_nostag_rp10_tvcdf5",="9955",=".",="-35417.86",="17",="70869.71",="70992.21"
="m2_stipw_nostag_rp10_tvcdf7",="9955",=".",="-35418.63",="19",="70875.25",="71012.16"
="m2_stipw_nostag_rp10_tvcdf4",="9955",=".",="-35422.2",="16",="70876.41",="70991.7"
="m2_stipw_nostag_rp10_tvcdf3",="9955",=".",="-35427.63",="15",="70885.25",="70993.34"
="m2_stipw_nostag_rp10_tvcdf2",="9955",=".",="-35432.29",="14",="70892.58",="70993.46"
="m2_stipw_nostag_rp10_tvcdf1",="9955",=".",="-35435.65",="13",="70897.29",="70990.97"
="m2_stipw_nostag_rp9_tvcdf5",="9955",=".",="-35433.36",="16",="70898.73",="71014.02"
="m2_stipw_nostag_rp9_tvcdf6",="9955",=".",="-35434.01",="17",="70902.01",="71024.51"
="m2_stipw_nostag_rp9_tvcdf7",="9955",=".",="-35433.97",="18",="70903.94",="71033.65"
="m2_stipw_nostag_rp9_tvcdf4",="9955",=".",="-35439.05",="15",="70908.11",="71016.19"
="m2_stipw_nostag_rp9_tvcdf3",="9955",=".",="-35444.86",="14",="70917.72",="71018.6"
="m2_stipw_nostag_rp9_tvcdf2",="9955",=".",="-35449.44",="13",="70924.88",="71018.55"
="m2_stipw_nostag_rp9_tvcdf1",="9955",=".",="-35453.03",="12",="70930.06",="71016.53"
="m2_stipw_nostag_rp6_tvcdf7",="9955",=".",="-35455.76",="15",="70941.52",="71049.6"
="m2_stipw_nostag_rp6_tvcdf6",="9955",=".",="-35457.51",="14",="70943.01",="71043.89"
="m2_stipw_nostag_rp7_tvcdf7",="9955",=".",="-35459.37",="16",="70950.74",="71066.04"
="m2_stipw_nostag_rp7_tvcdf5",="9955",=".",="-35461.37",="14",="70950.75",="71051.63"
="m2_stipw_nostag_rp6_tvcdf5",="9955",=".",="-35462.64",="13",="70951.27",="71044.95"
="m2_stipw_nostag_rp7_tvcdf6",="9955",=".",="-35461.78",="15",="70953.55",="71061.64"
