="",="stats_4",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m3_stipw_nostag_logn",="4480",="-16416.84",="-16406.78",="3",="32819.55",="32838.77"
="m3_stipw_nostag_rp2_tvcdf1",="4480",=".",="-16405.02",="5",="32820.05",="32852.08"
="m3_stipw_nostag_rp2_tvcdf2",="4480",=".",="-16404.17",="6",="32820.34",="32858.78"
="m3_stipw_nostag_rp3_tvcdf3",="4480",=".",="-16402.53",="8",="32821.07",="32872.33"
="m3_stipw_nostag_rp3_tvcdf1",="4480",=".",="-16404.62",="6",="32821.24",="32859.68"
="m3_stipw_nostag_rp4_tvcdf3",="4480",=".",="-16401.79",="9",="32821.57",="32879.24"
="m3_stipw_nostag_rp3_tvcdf2",="4480",=".",="-16403.8",="7",="32821.59",="32866.45"
="m3_stipw_nostag_rp4_tvcdf1",="4480",=".",="-16403.93",="7",="32821.85",="32866.71"
="m3_stipw_nostag_rp2_tvcdf3",="4480",=".",="-16403.98",="7",="32821.97",="32866.82"
="m3_stipw_nostag_rp8_tvcdf3",="4480",=".",="-16398.1",="13",="32822.21",="32905.5"
="m3_stipw_nostag_rp4_tvcdf2",="4480",=".",="-16403.15",="8",="32822.29",="32873.55"
="m3_stipw_nostag_rp6_tvcdf3",="4480",=".",="-16400.21",="11",="32822.43",="32892.91"
="m3_stipw_nostag_rp3_tvcdf4",="4480",=".",="-16402.23",="9",="32822.45",="32880.12"
="m3_stipw_nostag_rp7_tvcdf3",="4480",=".",="-16399.32",="12",="32822.64",="32899.53"
="m3_stipw_nostag_rp5_tvcdf3",="4480",=".",="-16401.44",="10",="32822.88",="32886.95"
="m3_stipw_nostag_rp6_tvcdf1",="4480",=".",="-16402.47",="9",="32822.94",="32880.61"
="m3_stipw_nostag_rp8_tvcdf1",="4480",=".",="-16400.5",="11",="32823.01",="32893.49"
="m3_stipw_nostag_rp8_tvcdf2",="4480",=".",="-16399.58",="12",="32823.17",="32900.06"
="m3_stipw_nostag_rp7_tvcdf1",="4480",=".",="-16401.6",="10",="32823.2",="32887.27"
="m3_stipw_nostag_rp5_tvcdf1",="4480",=".",="-16403.61",="8",="32823.22",="32874.48"
="m3_stipw_nostag_rp6_tvcdf2",="4480",=".",="-16401.63",="10",="32823.25",="32887.33"
="m3_stipw_nostag_rp2_tvcdf4",="4480",=".",="-16403.72",="8",="32823.44",="32874.69"
="m3_stipw_nostag_rp7_tvcdf2",="4480",=".",="-16400.72",="11",="32823.45",="32893.93"
="m3_stipw_nostag_rp4_tvcdf4",="4480",=".",="-16401.79",="10",="32823.57",="32887.65"
="m3_stipw_nostag_rp5_tvcdf2",="4480",=".",="-16402.81",="9",="32823.62",="32881.29"
="m3_stipw_nostag_rp3_tvcdf5",="4480",=".",="-16401.86",="10",="32823.72",="32887.8"
="m3_stipw_nostag_rp8_tvcdf4",="4480",=".",="-16398",="14",="32824",="32913.7"
="m3_stipw_nostag_rp6_tvcdf4",="4480",=".",="-16400.07",="12",="32824.14",="32901.03"
="m3_stipw_nostag_rp7_tvcdf4",="4480",=".",="-16399.17",="13",="32824.34",="32907.64"
="m3_stipw_nostag_rp5_tvcdf4",="4480",=".",="-16401.25",="11",="32824.5",="32894.98"
="m3_stipw_nostag_rp10_tvcdf3",="4480",=".",="-16397.31",="15",="32824.63",="32920.74"
="m3_stipw_nostag_rp9_tvcdf3",="4480",=".",="-16398.32",="14",="32824.64",="32914.35"
="m3_stipw_nostag_rp2_tvcdf5",="4480",=".",="-16403.43",="9",="32824.87",="32882.54"
="m3_stipw_nostag_rp4_tvcdf5",="4480",=".",="-16401.52",="11",="32825.04",="32895.52"
="m3_stipw_nostag_rp9_tvcdf1",="4480",=".",="-16400.72",="12",="32825.43",="32902.32"
="m3_stipw_nostag_rp10_tvcdf1",="4480",=".",="-16399.74",="13",="32825.48",="32908.78"
="m3_stipw_nostag_rp3_tvcdf6",="4480",=".",="-16401.78",="11",="32825.55",="32896.03"
="m3_stipw_nostag_rp9_tvcdf2",="4480",=".",="-16399.81",="13",="32825.61",="32908.91"
="m3_stipw_nostag_rp10_tvcdf2",="4480",=".",="-16398.82",="14",="32825.65",="32915.35"
="m3_stipw_nostag_rp8_tvcdf5",="4480",=".",="-16397.9",="15",="32825.8",="32921.91"
="m3_stipw_nostag_rp6_tvcdf5",="4480",=".",="-16400.03",="13",="32826.06",="32909.36"
="m3_stipw_nostag_rp7_tvcdf5",="4480",=".",="-16399.11",="14",="32826.21",="32915.92"
="m3_stipw_nostag_rp10_tvcdf4",="4480",=".",="-16397.19",="16",="32826.38",="32928.9"
="m3_stipw_nostag_rp9_tvcdf4",="4480",=".",="-16398.21",="15",="32826.42",="32922.53"
="m3_stipw_nostag_rp5_tvcdf5",="4480",=".",="-16401.28",="12",="32826.55",="32903.44"
="m3_stipw_nostag_rp2_tvcdf6",="4480",=".",="-16403.34",="10",="32826.68",="32890.75"
="m3_stipw_nostag_rp3_tvcdf7",="4480",=".",="-16401.47",="12",="32826.94",="32903.83"
="m3_stipw_nostag_rp8_tvcdf7",="4480",=".",="-16396.48",="17",="32826.95",="32935.88"
="m3_stipw_nostag_rp4_tvcdf6",="4480",=".",="-16401.5",="12",="32826.99",="32903.88"
="m3_stipw_nostag_rp8_tvcdf6",="4480",=".",="-16397.68",="16",="32827.36",="32929.88"
="m3_stipw_nostag_rp6_tvcdf6",="4480",=".",="-16399.94",="14",="32827.87",="32917.57"
="m3_stipw_nostag_rp7_tvcdf7",="4480",=".",="-16398",="16",="32828",="32930.51"
="m3_stipw_nostag_rp7_tvcdf6",="4480",=".",="-16399.03",="15",="32828.05",="32924.16"
="m3_stipw_nostag_rp2_tvcdf7",="4480",=".",="-16403.06",="11",="32828.12",="32898.6"
="m3_stipw_nostag_rp10_tvcdf5",="4480",=".",="-16397.1",="17",="32828.2",="32937.12"
="m3_stipw_nostag_rp9_tvcdf5",="4480",=".",="-16398.11",="16",="32828.22",="32930.74"
="m3_stipw_nostag_rp4_tvcdf7",="4480",=".",="-16401.2",="13",="32828.39",="32911.69"
="m3_stipw_nostag_rp5_tvcdf6",="4480",=".",="-16401.2",="13",="32828.4",="32911.69"
="m3_stipw_nostag_rp6_tvcdf7",="4480",=".",="-16399.56",="15",="32829.12",="32925.23"
="m3_stipw_nostag_rp9_tvcdf7",="4480",=".",="-16396.6",="18",="32829.19",="32944.53"
="m3_stipw_nostag_rp10_tvcdf7",="4480",=".",="-16395.9",="19",="32829.81",="32951.55"
="m3_stipw_nostag_rp10_tvcdf6",="4480",=".",="-16396.94",="18",="32829.87",="32945.2"
="m3_stipw_nostag_rp9_tvcdf6",="4480",=".",="-16397.98",="17",="32829.97",="32938.89"
="m3_stipw_nostag_rp5_tvcdf7",="4480",=".",="-16401.12",="14",="32830.23",="32919.93"
="m3_stipw_nostag_gom",="4480",="-16443.15",="-16433.5",="3",="32873.01",="32892.23"
="m3_stipw_nostag_rp1_tvcdf2",="4480",=".",="-16431.68",="5",="32873.36",="32905.4"
="m3_stipw_nostag_llog",="4480",="-16442.95",="-16434.58",="3",="32875.16",="32894.39"
="m3_stipw_nostag_rp1_tvcdf3",="4480",=".",="-16431.61",="6",="32875.22",="32913.66"
="m3_stipw_nostag_rp1_tvcdf4",="4480",=".",="-16431.23",="7",="32876.46",="32921.31"
="m3_stipw_nostag_rp1_tvcdf5",="4480",=".",="-16430.96",="8",="32877.93",="32929.19"
="m3_stipw_nostag_rp1_tvcdf6",="4480",=".",="-16430.85",="9",="32879.7",="32937.37"
="m3_stipw_nostag_rp1_tvcdf7",="4480",=".",="-16430.58",="10",="32881.16",="32945.24"
="m3_stipw_nostag_rp1_tvcdf1",="4480",=".",="-16441.34",="4",="32890.68",="32916.31"
="m3_stipw_nostag_wei",="4480",="-16450.73",="-16442.62",="3",="32891.25",="32910.47"
="m3_stipw_nostag_exp",="4480",="-16697.06",="-16691.34",="2",="33386.68",="33399.49"
