="",="stats_2",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_stipw_nostag_rp9_tvcdf1",="16157",=".",="-53771.75",="12",="107567.5",="107659.8"
="m_stipw_nostag_rp9_tvcdf6",="16157",=".",="-53766.93",="17",="107567.9",="107698.6"
="m_stipw_nostag_rp9_tvcdf5",="16157",=".",="-53768.06",="16",="107568.1",="107691.2"
="m_stipw_nostag_rp9_tvcdf3",="16157",=".",="-53770.26",="14",="107568.5",="107676.2"
="m_stipw_nostag_rp9_tvcdf4",="16157",=".",="-53769.5",="15",="107569",="107684.4"
="m_stipw_nostag_rp8_tvcdf1",="16157",=".",="-53773.56",="11",="107569.1",="107653.7"
="m_stipw_nostag_rp9_tvcdf2",="16157",=".",="-53771.71",="13",="107569.4",="107669.4"
="m_stipw_nostag_rp8_tvcdf6",="16157",=".",="-53768.9",="16",="107569.8",="107692.8"
="m_stipw_nostag_rp8_tvcdf3",="16157",=".",="-53772.07",="13",="107570.1",="107670.1"
="m_stipw_nostag_rp10_tvcdf1",="16157",=".",="-53772.07",="13",="107570.1",="107670.1"
="m_stipw_nostag_rp8_tvcdf5",="16157",=".",="-53770.1",="15",="107570.2",="107685.6"
="m_stipw_nostag_rp10_tvcdf6",="16157",=".",="-53767.11",="18",="107570.2",="107708.6"
="m_stipw_nostag_rp7_tvcdf1",="16157",=".",="-53775.31",="10",="107570.6",="107647.5"
="m_stipw_nostag_rp8_tvcdf4",="16157",=".",="-53771.33",="14",="107570.7",="107678.3"
="m_stipw_nostag_rp7_tvcdf5",="16157",=".",="-53771.36",="14",="107570.7",="107678.4"
="m_stipw_nostag_rp10_tvcdf5",="16157",=".",="-53768.5",="17",="107571",="107701.7"
="m_stipw_nostag_rp8_tvcdf2",="16157",=".",="-53773.52",="12",="107571",="107663.3"
="m_stipw_nostag_rp9_tvcdf7",="16157",=".",="-53767.56",="18",="107571.1",="107709.5"
="m_stipw_nostag_rp10_tvcdf3",="16157",=".",="-53770.59",="15",="107571.2",="107686.5"
="m_stipw_nostag_rp7_tvcdf3",="16157",=".",="-53773.81",="12",="107571.6",="107663.9"
="m_stipw_nostag_rp7_tvcdf6",="16157",=".",="-53770.83",="15",="107571.7",="107687"
="m_stipw_nostag_rp10_tvcdf4",="16157",=".",="-53769.84",="16",="107571.7",="107694.7"
="m_stipw_nostag_rp10_tvcdf2",="16157",=".",="-53772.04",="14",="107572.1",="107679.7"
="m_stipw_nostag_rp7_tvcdf4",="16157",=".",="-53773.08",="13",="107572.2",="107672.1"
="m_stipw_nostag_rp8_tvcdf7",="16157",=".",="-53769.26",="17",="107572.5",="107703.3"
="m_stipw_nostag_rp7_tvcdf2",="16157",=".",="-53775.27",="11",="107572.5",="107657.1"
="m_stipw_nostag_rp6_tvcdf1",="16157",=".",="-53777.46",="9",="107572.9",="107642.1"
="m_stipw_nostag_rp6_tvcdf6",="16157",=".",="-53772.57",="14",="107573.1",="107680.8"
="m_stipw_nostag_rp6_tvcdf5",="16157",=".",="-53773.67",="13",="107573.3",="107673.3"
="m_stipw_nostag_rp6_tvcdf3",="16157",=".",="-53775.9",="11",="107573.8",="107658.4"
