="",="stats_1",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_nostag_rp9_tvc_1",="22287",=".",="-54438.86",="63",="109003.7",="109508.5"
="m_nostag_rp8_tvc_1",="22287",=".",="-54439.86",="62",="109003.7",="109500.5"
="m_nostag_rp10_tvc_1",="22287",=".",="-54438.08",="64",="109004.2",="109516.9"
="m_nostag_rp7_tvc_1",="22287",=".",="-54441.23",="61",="109004.5",="109493.2"
="m_nostag_rp6_tvc_1",="22287",=".",="-54443.19",="60",="109006.4",="109487.1"
="m_nostag_rp9_tvc_2",="22287",=".",="-54438.82",="65",="109007.6",="109528.4"
="m_nostag_rp8_tvc_2",="22287",=".",="-54439.83",="64",="109007.7",="109520.4"
="m_nostag_rp10_tvc_2",="22287",=".",="-54438.04",="66",="109008.1",="109536.9"
="m_nostag_rp7_tvc_2",="22287",=".",="-54441.2",="63",="109008.4",="109513.1"
="m_nostag_rp6_tvc_2",="22287",=".",="-54443.16",="62",="109010.3",="109507"
="m_nostag_rp5_tvc_1",="22287",=".",="-54446.38",="59",="109010.8",="109483.4"
="m_nostag_rp9_tvc_3",="22287",=".",="-54438.67",="67",="109011.3",="109548.1"
="m_nostag_rp8_tvc_3",="22287",=".",="-54439.69",="66",="109011.4",="109540.2"
="m_nostag_rp10_tvc_3",="22287",=".",="-54437.89",="68",="109011.8",="109556.6"
="m_nostag_rp7_tvc_3",="22287",=".",="-54441.07",="65",="109012.1",="109532.9"
="m_nostag_rp6_tvc_3",="22287",=".",="-54443.02",="64",="109014",="109526.8"
="m_nostag_rp5_tvc_2",="22287",=".",="-54446.35",="61",="109014.7",="109503.4"
="m_nostag_rp9_tvc_4",="22287",=".",="-54438.69",="69",="109015.4",="109568.2"
="m_nostag_rp8_tvc_4",="22287",=".",="-54439.7",="68",="109015.4",="109560.2"
="m_nostag_rp10_tvc_4",="22287",=".",="-54437.9",="70",="109015.8",="109576.6"
="m_nostag_rp7_tvc_4",="22287",=".",="-54441.06",="67",="109016.1",="109552.9"
="m_nostag_rp6_tvc_4",="22287",=".",="-54443",="66",="109018",="109546.8"
="m_nostag_rp9_tvc_5",="22287",=".",="-54438.14",="71",="109018.3",="109587.1"
="m_nostag_rp8_tvc_5",="22287",=".",="-54439.16",="70",="109018.3",="109579.1"
="m_nostag_rp5_tvc_3",="22287",=".",="-54446.18",="63",="109018.4",="109523.1"
="m_nostag_rp10_tvc_5",="22287",=".",="-54437.37",="72",="109018.7",="109595.6"
="m_nostag_rp7_tvc_5",="22287",=".",="-54440.56",="69",="109019.1",="109571.9"
="m_nostag_rp9_tvc_6",="22287",=".",="-54437.15",="73",="109020.3",="109605.2"
="m_nostag_rp10_tvc_6",="22287",=".",="-54436.43",="74",="109020.9",="109613.7"
="m_nostag_rp8_tvc_6",="22287",=".",="-54438.45",="72",="109020.9",="109597.7"
="m_nostag_rp6_tvc_5",="22287",=".",="-54442.49",="68",="109021",="109565.8"
="m_nostag_rp7_tvc_6",="22287",=".",="-54439.78",="71",="109021.6",="109590.4"
="m_nostag_rp4_tvc_1",="22287",=".",="-54452.97",="58",="109021.9",="109486.6"
="m_nostag_rp5_tvc_4",="22287",=".",="-54446.01",="65",="109022",="109542.8"
="m_nostag_rp8_tvc_7",="22287",=".",="-54437.09",="74",="109022.2",="109615.1"
="m_nostag_rp3_tvc_6",="22287",=".",="-54444.2",="67",="109022.4",="109559.2"
="m_nostag_rp4_tvc_7",="22287",=".",="-54441.25",="70",="109022.5",="109583.3"
="m_nostag_rp4_tvc_6",="22287",=".",="-54443.26",="68",="109022.5",="109567.3"
="m_nostag_rp3_tvc_7",="22287",=".",="-54442.36",="69",="109022.7",="109575.5"
="m_nostag_rp9_tvc_7",="22287",=".",="-54436.41",="75",="109022.8",="109623.7"
="m_nostag_rp6_tvc_6",="22287",=".",="-54441.61",="70",="109023.2",="109584"
="m_nostag_rp10_tvc_7",="22287",=".",="-54435.66",="76",="109023.3",="109632.2"
="m_nostag_rp5_tvc_6",="22287",=".",="-54442.71",="69",="109023.4",="109576.2"
="m_nostag_rp7_tvc_7",="22287",=".",="-54438.78",="73",="109023.6",="109608.4"
="m_nostag_rp5_tvc_7",="22287",=".",="-54440.84",="71",="109023.7",="109592.5"
="m_nostag_rp6_tvc_7",="22287",=".",="-54440.26",="72",="109024.5",="109601.4"
="m_nostag_rp5_tvc_5",="22287",=".",="-54445.71",="67",="109025.4",="109562.2"
="m_nostag_rp4_tvc_2",="22287",=".",="-54452.94",="60",="109025.9",="109506.6"
="m_nostag_rp3_tvc_5",="22287",=".",="-54448.21",="65",="109026.4",="109547.2"
="m_nostag_rp4_tvc_5",="22287",=".",="-54447.62",="66",="109027.2",="109556"
="m_nostag_rp4_tvc_3",="22287",=".",="-54452.44",="62",="109028.9",="109525.6"
="m_nostag_rp4_tvc_4",="22287",=".",="-54452.82",="64",="109033.6",="109546.4"
="m_nostag_rp3_tvc_4",="22287",=".",="-54457.11",="63",="109040.2",="109545"
="m_nostag_rp3_tvc_1",="22287",=".",="-54463.4",="57",="109040.8",="109497.5"
="m_nostag_rp2_tvc_6",="22287",=".",="-54455.19",="66",="109042.4",="109571.2"
="m_nostag_rp2_tvc_7",="22287",=".",="-54453.37",="68",="109042.7",="109587.5"
="m_nostag_rp3_tvc_2",="22287",=".",="-54463.32",="59",="109044.6",="109517.3"
="m_nostag_rp2_tvc_5",="22287",=".",="-54458.64",="64",="109045.3",="109558"
="m_nostag_rp3_tvc_3",="22287",=".",="-54463.18",="61",="109048.4",="109537.1"
="m_nostag_rp2_tvc_4",="22287",=".",="-54465.15",="62",="109054.3",="109551"
="m_nostag_rp2_tvc_3",="22287",=".",="-54475.59",="60",="109071.2",="109551.9"
="m_nostag_rp1_tvc_6",="22287",=".",="-54505.62",="65",="109141.2",="109662"
="m_nostag_rp1_tvc_7",="22287",=".",="-54503.83",="67",="109141.7",="109678.5"
="m_nostag_rp1_tvc_5",="22287",=".",="-54509.16",="63",="109144.3",="109649.1"
="m_nostag_rp1_tvc_4",="22287",=".",="-54515.49",="61",="109153",="109641.7"
="m_nostag_rp2_tvc_1",="22287",=".",="-54523.74",="56",="109159.5",="109608.1"
="m_nostag_rp2_tvc_2",="22287",=".",="-54523.41",="58",="109162.8",="109627.5"
="m_nostag_rp1_tvc_3",="22287",=".",="-54524.23",="59",="109166.5",="109639.2"
="m_nostag_rp1_tvc_2",="22287",=".",="-54572.45",="57",="109258.9",="109715.6"
="m_nostag_rp1_tvc_1",="22287",=".",="-54836",="55",="109782",="110222.7"
