="",="stats_1",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_nostag_rp9_tvc_1",="4657",=".",="-19631.92",="61",="39385.84",="39779.05"
="m_nostag_rp8_tvc_1",="4657",=".",="-19634.1",="60",="39388.2",="39774.97"
="m_nostag_rp7_tvc_1",="4657",=".",="-19635.15",="59",="39388.3",="39768.62"
="m_nostag_rp6_tvc_1",="4657",=".",="-19636.39",="58",="39388.77",="39762.65"
="m_nostag_rp10_tvc_1",="4657",=".",="-19632.55",="62",="39389.09",="39788.75"
="m_nostag_rp9_tvc_2",="4657",=".",="-19631.67",="63",="39389.34",="39795.44"
="m_nostag_rp8_tvc_2",="4657",=".",="-19633.85",="62",="39391.7",="39791.36"
="m_nostag_rp9_tvc_3",="4657",=".",="-19630.88",="65",="39391.75",="39810.75"
="m_nostag_rp7_tvc_2",="4657",=".",="-19634.89",="61",="39391.78",="39784.99"
="m_nostag_rp9_tvc_4",="4657",=".",="-19629.05",="67",="39392.1",="39823.99"
="m_nostag_rp6_tvc_2",="4657",=".",="-19636.12",="60",="39392.25",="39779.02"
="m_nostag_rp10_tvc_2",="4657",=".",="-19632.3",="64",="39392.6",="39805.15"
="m_nostag_rp5_tvc_1",="4657",=".",="-19639.66",="57",="39393.31",="39760.74"
="m_nostag_rp8_tvc_3",="4657",=".",="-19633.09",="64",="39394.18",="39806.74"
="m_nostag_rp7_tvc_3",="4657",=".",="-19634.17",="63",="39394.34",="39800.44"
="m_nostag_rp7_tvc_4",="4657",=".",="-19632.2",="65",="39394.39",="39813.39"
="m_nostag_rp6_tvc_3",="4657",=".",="-19635.31",="62",="39394.61",="39794.27"
="m_nostag_rp8_tvc_4",="4657",=".",="-19631.4",="66",="39394.8",="39820.25"
="m_nostag_rp6_tvc_4",="4657",=".",="-19633.43",="64",="39394.86",="39807.41"
="m_nostag_rp10_tvc_3",="4657",=".",="-19631.49",="66",="39394.97",="39820.42"
="m_nostag_rp10_tvc_4",="4657",=".",="-19629.75",="68",="39395.49",="39833.83"
="m_nostag_rp5_tvc_4",="4657",=".",="-19634.9",="63",="39395.79",="39801.9"
="m_nostag_rp9_tvc_5",="4657",=".",="-19629.04",="69",="39396.08",="39840.86"
="m_nostag_rp7_tvc_5",="4657",=".",="-19631.25",="67",="39396.51",="39828.4"
="m_nostag_rp5_tvc_2",="4657",=".",="-19639.36",="59",="39396.72",="39777.04"
="m_nostag_rp9_tvc_6",="4657",=".",="-19627.87",="71",="39397.73",="39855.41"
="m_nostag_rp7_tvc_6",="4657",=".",="-19630.18",="69",="39398.36",="39843.15"
="m_nostag_rp6_tvc_5",="4657",=".",="-19633.27",="66",="39398.53",="39823.98"
="m_nostag_rp8_tvc_5",="4657",=".",="-19631.31",="68",="39398.61",="39836.95"
="m_nostag_rp10_tvc_5",="4657",=".",="-19629.58",="70",="39399.16",="39850.39"
="m_nostag_rp5_tvc_3",="4657",=".",="-19638.66",="61",="39399.31",="39792.52"
="m_nostag_rp8_tvc_6",="4657",=".",="-19630.04",="70",="39400.07",="39851.3"
="m_nostag_rp8_tvc_7",="4657",=".",="-19628.27",="72",="39400.55",="39864.67"
="m_nostag_rp6_tvc_6",="4657",=".",="-19632.61",="68",="39401.23",="39839.56"
="m_nostag_rp10_tvc_6",="4657",=".",="-19628.96",="72",="39401.93",="39866.05"
="m_nostag_rp5_tvc_6",="4657",=".",="-19634.07",="67",="39402.14",="39834.04"
="m_nostag_rp9_tvc_7",="4657",=".",="-19628.4",="73",="39402.8",="39873.36"
="m_nostag_rp5_tvc_5",="4657",=".",="-19636.51",="65",="39403.01",="39822.01"
="m_nostag_rp4_tvc_6",="4657",=".",="-19635.53",="66",="39403.06",="39828.51"
="m_nostag_rp4_tvc_1",="4657",=".",="-19646.05",="56",="39404.1",="39765.09"
="m_nostag_rp7_tvc_7",="4657",=".",="-19631.16",="71",="39404.33",="39862"
="m_nostag_rp10_tvc_7",="4657",=".",="-19628.55",="74",="39405.09",="39882.11"
="m_nostag_rp5_tvc_7",="4657",=".",="-19633.82",="69",="39405.63",="39850.42"
="m_nostag_rp4_tvc_7",="4657",=".",="-19635.02",="68",="39406.03",="39844.37"
="m_nostag_rp3_tvc_6",="4657",=".",="-19638.08",="65",="39406.16",="39825.15"
="m_nostag_rp6_tvc_7",="4657",=".",="-19633.31",="70",="39406.61",="39857.84"
="m_nostag_rp4_tvc_2",="4657",=".",="-19645.76",="58",="39407.52",="39781.39"
="m_nostag_rp3_tvc_7",="4657",=".",="-19637.07",="67",="39408.13",="39840.02"
="m_nostag_rp3_tvc_5",="4657",=".",="-19641.12",="63",="39408.24",="39814.34"
="m_nostag_rp4_tvc_3",="4657",=".",="-19644.18",="60",="39408.36",="39795.13"
="m_nostag_rp4_tvc_5",="4657",=".",="-19640.69",="64",="39409.38",="39821.94"
="m_nostag_rp4_tvc_4",="4657",=".",="-19643.12",="62",="39410.24",="39809.9"
="m_nostag_rp3_tvc_1",="4657",=".",="-19650.33",="55",="39410.66",="39765.19"
="m_nostag_rp2_tvc_6",="4657",=".",="-19641.74",="64",="39411.49",="39824.04"
="m_nostag_rp2_tvc_5",="4657",=".",="-19644.73",="62",="39413.47",="39813.13"
="m_nostag_rp2_tvc_7",="4657",=".",="-19640.93",="66",="39413.85",="39839.3"
="m_nostag_rp3_tvc_2",="4657",=".",="-19650.1",="57",="39414.19",="39781.62"
="m_nostag_rp3_tvc_3",="4657",=".",="-19649.28",="59",="39416.56",="39796.88"
="m_nostag_rp3_tvc_4",="4657",=".",="-19647.51",="61",="39417.01",="39810.22"
="m_nostag_rp1_tvc_6",="4657",=".",="-19645.79",="63",="39417.57",="39823.68"
="m_nostag_rp2_tvc_4",="4657",=".",="-19649.58",="60",="39419.16",="39805.92"
="m_nostag_rp1_tvc_5",="4657",=".",="-19648.86",="61",="39419.71",="39812.93"
="m_nostag_rp1_tvc_7",="4657",=".",="-19645",="65",="39420",="39839"
="m_nostag_rp2_tvc_3",="4657",=".",="-19653.13",="58",="39422.27",="39796.14"
="m_nostag_rp1_tvc_4",="4657",=".",="-19653.58",="59",="39425.16",="39805.48"
