="",="stats_1",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_nostag_rp6_tvc_1",="5144",=".",="-16977.44",="60",="34074.87",="34467.61"
="m_nostag_rp5_tvc_1",="5144",=".",="-16979.1",="59",="34076.21",="34462.4"
="m_nostag_rp7_tvc_1",="5144",=".",="-16977.18",="61",="34076.36",="34475.64"
="m_nostag_rp8_tvc_1",="5144",=".",="-16976.54",="62",="34077.07",="34482.9"
="m_nostag_rp6_tvc_2",="5144",=".",="-16976.58",="62",="34077.15",="34482.98"
="m_nostag_rp9_tvc_1",="5144",=".",="-16975.76",="63",="34077.52",="34489.89"
="m_nostag_rp5_tvc_2",="5144",=".",="-16978.23",="61",="34078.46",="34477.74"
="m_nostag_rp7_tvc_2",="5144",=".",="-16976.32",="63",="34078.65",="34491.02"
="m_nostag_rp10_tvc_1",="5144",=".",="-16975.36",="64",="34078.73",="34497.65"
="m_nostag_rp8_tvc_2",="5144",=".",="-16975.67",="64",="34079.35",="34498.27"
="m_nostag_rp4_tvc_1",="5144",=".",="-16981.68",="58",="34079.35",="34459"
="m_nostag_rp9_tvc_2",="5144",=".",="-16974.89",="65",="34079.78",="34505.24"
="m_nostag_rp6_tvc_3",="5144",=".",="-16976.45",="64",="34080.9",="34499.82"
="m_nostag_rp10_tvc_2",="5144",=".",="-16974.5",="66",="34081",="34513.01"
="m_nostag_rp4_tvc_2",="5144",=".",="-16980.81",="60",="34081.61",="34474.35"
="m_nostag_rp3_tvc_1",="5144",=".",="-16983.96",="57",="34081.92",="34455.01"
="m_nostag_rp5_tvc_4",="5144",=".",="-16976.05",="65",="34082.1",="34507.56"
="m_nostag_rp5_tvc_3",="5144",=".",="-16978.15",="63",="34082.29",="34494.66"
="m_nostag_rp7_tvc_3",="5144",=".",="-16976.21",="65",="34082.43",="34507.89"
="m_nostag_rp8_tvc_3",="5144",=".",="-16975.54",="66",="34083.07",="34515.08"
="m_nostag_rp6_tvc_4",="5144",=".",="-16975.55",="66",="34083.11",="34515.12"
="m_nostag_rp9_tvc_3",="5144",=".",="-16974.74",="67",="34083.47",="34522.03"
="m_nostag_rp7_tvc_4",="5144",=".",="-16975.1",="67",="34084.2",="34522.75"
="m_nostag_rp3_tvc_2",="5144",=".",="-16983.17",="59",="34084.33",="34470.52"
="m_nostag_rp10_tvc_3",="5144",=".",="-16974.34",="68",="34084.68",="34529.78"
="m_nostag_rp4_tvc_3",="5144",=".",="-16980.57",="62",="34085.15",="34490.97"
="m_nostag_rp8_tvc_4",="5144",=".",="-16974.65",="68",="34085.3",="34530.4"
="m_nostag_rp9_tvc_4",="5144",=".",="-16973.71",="69",="34085.43",="34537.07"
="m_nostag_rp10_tvc_4",="5144",=".",="-16973.37",="70",="34086.74",="34544.93"
="m_nostag_rp6_tvc_5",="5144",=".",="-16975.4",="68",="34086.8",="34531.9"
="m_nostag_rp4_tvc_4",="5144",=".",="-16979.83",="64",="34087.67",="34506.59"
="m_nostag_rp4_tvc_6",="5144",=".",="-16975.84",="68",="34087.68",="34532.78"
="m_nostag_rp3_tvc_5",="5144",=".",="-16978.93",="65",="34087.86",="34513.32"
="m_nostag_rp3_tvc_3",="5144",=".",="-16982.97",="61",="34087.94",="34487.22"
