="",="stats_1",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_nostag_rp9_tvc_1",="5144",=".",="-21756.51",="61",="43635.03",="44034.31"
="m_nostag_rp8_tvc_1",="5144",=".",="-21757.57",="60",="43635.14",="44027.88"
="m_nostag_rp7_tvc_1",="5144",=".",="-21758.69",="59",="43635.37",="44021.56"
="m_nostag_rp6_tvc_1",="5144",=".",="-21759.87",="58",="43635.74",="44015.39"
="m_nostag_rp10_tvc_1",="5144",=".",="-21756.5",="62",="43636.99",="44042.82"
="m_nostag_rp9_tvc_2",="5144",=".",="-21756.23",="63",="43638.47",="44050.84"
="m_nostag_rp8_tvc_2",="5144",=".",="-21757.29",="62",="43638.58",="44044.4"
="m_nostag_rp7_tvc_2",="5144",=".",="-21758.4",="61",="43638.81",="44038.09"
="m_nostag_rp6_tvc_2",="5144",=".",="-21759.58",="60",="43639.17",="44031.9"
="m_nostag_rp10_tvc_2",="5144",=".",="-21756.22",="64",="43640.44",="44059.36"
="m_nostag_rp5_tvc_1",="5144",=".",="-21763.63",="57",="43641.26",="44014.36"
="m_nostag_rp9_tvc_3",="5144",=".",="-21755.73",="65",="43641.45",="44066.92"
="m_nostag_rp8_tvc_3",="5144",=".",="-21756.81",="64",="43641.62",="44060.54"
="m_nostag_rp7_tvc_3",="5144",=".",="-21757.98",="63",="43641.95",="44054.33"
="m_nostag_rp9_tvc_4",="5144",=".",="-21754.07",="67",="43642.13",="44080.69"
="m_nostag_rp6_tvc_3",="5144",=".",="-21759.09",="62",="43642.18",="44048.01"
="m_nostag_rp7_tvc_4",="5144",=".",="-21756.16",="65",="43642.32",="44067.78"
="m_nostag_rp8_tvc_4",="5144",=".",="-21755.26",="66",="43642.52",="44074.53"
="m_nostag_rp6_tvc_4",="5144",=".",="-21757.32",="64",="43642.63",="44061.55"
="m_nostag_rp10_tvc_3",="5144",=".",="-21755.69",="66",="43643.39",="44075.4"
="m_nostag_rp10_tvc_4",="5144",=".",="-21754.08",="68",="43644.16",="44089.26"
="m_nostag_rp5_tvc_4",="5144",=".",="-21759.3",="63",="43644.6",="44056.97"
="m_nostag_rp5_tvc_2",="5144",=".",="-21763.33",="59",="43644.67",="44030.86"
="m_nostag_rp7_tvc_5",="5144",=".",="-21755.52",="67",="43645.03",="44083.59"
="m_nostag_rp6_tvc_5",="5144",=".",="-21757.05",="66",="43646.1",="44078.11"
="m_nostag_rp9_tvc_5",="5144",=".",="-21754.09",="69",="43646.17",="44097.82"
="m_nostag_rp8_tvc_5",="5144",=".",="-21755.16",="68",="43646.32",="44091.42"
="m_nostag_rp7_tvc_6",="5144",=".",="-21754.4",="69",="43646.8",="44098.44"
