"w"	"term"	"HR"	"lo_95ci"	"up_95ci"	"p.value"
"1"	"i0"	"tr_outcome.lag"	"0.15"	"0.15"	"0.16"	"<0.001"
"2"	"i0b"	"tr_outcome.lag"	"2.91"	"2.82"	"3.01"	"<0.001"
"3"	"i0c"	"tr_outcome.lag"	"0.47"	"0.47"	"0.48"	"<0.001"
"4"	"i0d"	"tr_outcome.lag"	"1.32"	"1.28"	"1.35"	"<0.001"
"5"	"i1"	"tr_outcome.lag"	"1.20"	"1.15"	"1.24"	"<0.001"
"6"	"i1"	"comp_bpsc_y2_moderate.lag"	"1.17"	"1.10"	"1.24"	"<0.001"
"7"	"i1"	"comp_bpsc_y3_severe.lag"	"1.69"	"1.58"	"1.80"	"<0.001"
"8"	"i1"	"less_90d_tr1.lag"	"1.04"	"1.00"	"1.08"	"0.032"
"9"	"i1"	"policonsumo2.lag"	"1.22"	"1.17"	"1.27"	"<0.001"
"10"	"i1b"	"tr_outcome.lag"	"1.23"	"1.18"	"1.28"	"<0.001"
"11"	"i1b"	"comp_bpsc_y2_moderate.lag"	"1.00"	"0.94"	"1.07"	"0.910"
"12"	"i1b"	"comp_bpsc_y3_severe.lag"	"4.21"	"3.95"	"4.48"	"<0.001"
"13"	"i1b"	"less_90d_tr1.lag"	"3.59"	"3.51"	"3.68"	"<0.001"
"14"	"i1b"	"policonsumo2.lag"	"2.32"	"2.22"	"2.42"	"<0.001"
"15"	"i1c"	"tr_outcome.lag"	"0.74"	"0.72"	"0.76"	"<0.001"
"16"	"i1c"	"comp_bpsc_y2_moderate.lag"	"0.40"	"0.39"	"0.42"	"<0.001"
"17"	"i1c"	"comp_bpsc_y3_severe.lag"	"0.44"	"0.43"	"0.46"	"<0.001"
"18"	"i1c"	"less_90d_tr1.lag"	"0.89"	"0.86"	"0.92"	"<0.001"
"19"	"i1c"	"policonsumo2.lag"	"0.73"	"0.72"	"0.75"	"<0.001"
"20"	"i1d"	"tr_outcome.lag"	"1.10"	"1.06"	"1.13"	"<0.001"
"21"	"i1d"	"comp_bpsc_y2_moderate.lag"	"0.95"	"0.91"	"1.00"	"0.036"
