"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"1"	"simplest, binomial"	"(Intercept)"	"649537524978749056.00"	"17.33"	"0.0179"	"1152.76"	"365991273736348311840622284666008.00"
"2"	"simplest, binomial"	"policonsumo2"	"1.20"	"0.06"	"0.0013"	"1.07"	"1.34"
"3"	"simplest, binomial"	"edad_al_ing_1"	"0.95"	"0.01"	"0.0000"	"0.94"	"0.97"
"4"	"simplest, binomial"	"ano_nac_corr"	"0.98"	"0.01"	"0.0237"	"0.96"	"1.00"
"5"	"simplest, binomial"	"susinidum_oh"	"1.00"	"0.15"	"0.9789"	"0.75"	"1.33"
"6"	"simplest, binomial"	"susinidum_coc"	"1.27"	"0.19"	"0.2115"	"0.87"	"1.86"
"7"	"simplest, binomial"	"susinidum_pbc"	"1.12"	"0.17"	"0.5316"	"0.79"	"1.57"
"8"	"simplest, binomial"	"susinidum_mar"	"1.17"	"0.15"	"0.2991"	"0.87"	"1.58"
"9"	"simplest, binomial"	"psycom_dum_study"	"1.87"	"0.08"	"0.0000"	"1.62"	"2.17"
"10"	"simplest, binomial"	"psycom_dum_with"	"1.00"	"0.05"	"0.9867"	"0.91"	"1.10"
"11"	"simplest, binomial"	"freq_cons_dum_5day"	"1.10"	"0.05"	"0.0356"	"1.01"	"1.21"
"12"	"simplest, binomial"	"cond_oc_dum_2inact"	"0.85"	"0.06"	"0.0115"	"0.75"	"0.96"
"13"	"simplest, binomial"	"cond_oc_dum_3unemp"	"0.92"	"0.05"	"0.1272"	"0.83"	"1.02"
"14"	"simplest, binomial"	"susprindum_coc"	"1.13"	"0.07"	"0.0898"	"0.98"	"1.30"
"15"	"simplest, binomial"	"susprindum_pbc"	"1.26"	"0.06"	"0.0002"	"1.12"	"1.42"
"16"	"simplest, binomial"	"susprindum_mar"	"0.99"	"0.11"	"0.9218"	"0.80"	"1.22"
"17"	"full, binomial"	"(Intercept)"	"17393917989111856.00"	"17.42"	"0.0318"	"26.01"	"11629908784094002413804844460244.00"
"18"	"full, binomial"	"policonsumo2"	"1.20"	"0.06"	"0.0014"	"1.07"	"1.34"
"19"	"full, binomial"	"comp_bpsc_y2_moderate"	"1.21"	"0.08"	"0.0186"	"1.03"	"1.41"
"20"	"full, binomial"	"comp_bpsc_y3_severe"	"1.34"	"0.09"	"0.0008"	"1.13"	"1.59"
"21"	"full, binomial"	"edad_al_ing_1"	"0.95"	"0.01"	"0.0000"	"0.94"	"0.97"
"22"	"full, binomial"	"ano_nac_corr"	"0.98"	"0.01"	"0.0370"	"0.97"	"1.00"
"23"	"full, binomial"	"esc_dum_rec_3prim"	"1.56"	"0.07"	"0.0000"	"1.35"	"1.79"
"24"	"full, binomial"	"esc_dum_rec_2high"	"1.30"	"0.06"	"0.0000"	"1.15"	"1.47"
"25"	"full, binomial"	"susprindum_oh"	"1.56"	"0.17"	"0.0084"	"1.12"	"2.18"
"26"	"full, binomial"	"susprindum_coc"	"1.78"	"0.17"	"0.0009"	"1.27"	"2.51"
"27"	"full, binomial"	"susprindum_pbc"	"1.86"	"0.17"	"0.0002"	"1.34"	"2.60"
"28"	"full, binomial"	"susprindum_mar"	"1.52"	"0.19"	"0.0283"	"1.05"	"2.20"
"29"	"full, binomial"	"freq_cons_dum_5day"	"1.01"	"0.11"	"0.9374"	"0.81"	"1.26"
"30"	"full, binomial"	"freq_cons_dum_44to6wk"	"0.92"	"0.12"	"0.4971"	"0.73"	"1.16"
"31"	"full, binomial"	"freq_cons_dum_32to3wk"	"0.94"	"0.11"	"0.5499"	"0.75"	"1.16"
"32"	"full, binomial"	"freq_cons_dum_21wkmore"	"0.90"	"0.13"	"0.4431"	"0.70"	"1.17"
"33"	"full, binomial"	"cond_oc_dum_3unemp"	"0.91"	"0.05"	"0.0787"	"0.82"	"1.01"
"34"	"full, binomial"	"cond_oc_dum_2inact"	"0.82"	"0.07"	"0.0026"	"0.72"	"0.93"
"35"	"full, binomial"	"viv_dum_illegal"	"0.80"	"0.22"	"0.3168"	"0.52"	"1.23"
"36"	"full, binomial"	"viv_dum_own"	"1.06"	"0.13"	"0.6761"	"0.81"	"1.38"
"37"	"full, binomial"	"viv_dum_rent"	"1.06"	"0.14"	"0.6613"	"0.81"	"1.40"
"38"	"full, binomial"	"viv_dum_temp"	"1.05"	"0.13"	"0.7068"	"0.81"	"1.37"
