"model"	"term"	"estimate"	"std.error"	"p.value"	"conf.low"	"conf.high"
"1"	"simplest, binomial"	"(Intercept)"	"198242.91"	"18.20"	"0.5027"	"0.00"	"612120362947259531284.00"
"2"	"simplest, binomial"	"policonsumo2"	"1.13"	"0.06"	"0.0244"	"1.02"	"1.26"
"3"	"simplest, binomial"	"edad_al_ing_1"	"0.97"	"0.01"	"0.0002"	"0.95"	"0.98"
"4"	"simplest, binomial"	"ano_nac_corr"	"0.99"	"0.01"	"0.5615"	"0.98"	"1.01"
"5"	"simplest, binomial"	"susinidum_oh"	"1.02"	"0.14"	"0.8626"	"0.78"	"1.35"
"6"	"simplest, binomial"	"susinidum_coc"	"0.95"	"0.18"	"0.7645"	"0.66"	"1.35"
"7"	"simplest, binomial"	"susinidum_pbc"	"1.09"	"0.16"	"0.5792"	"0.80"	"1.50"
"8"	"simplest, binomial"	"susinidum_mar"	"1.13"	"0.14"	"0.3774"	"0.86"	"1.50"
"9"	"simplest, binomial"	"psycom_dum_study"	"2.11"	"0.07"	"0.0000"	"1.82"	"2.43"
"10"	"simplest, binomial"	"psycom_dum_with"	"1.06"	"0.05"	"0.2265"	"0.96"	"1.17"
"11"	"simplest, binomial"	"freq_cons_dum_5day"	"1.03"	"0.05"	"0.5127"	"0.94"	"1.13"
"12"	"simplest, binomial"	"cond_oc_dum_2inact"	"0.81"	"0.07"	"0.0010"	"0.71"	"0.92"
"13"	"simplest, binomial"	"cond_oc_dum_3unemp"	"0.94"	"0.05"	"0.2349"	"0.85"	"1.04"
"14"	"simplest, binomial"	"susprindum_coc"	"1.22"	"0.07"	"0.0058"	"1.06"	"1.41"
"15"	"simplest, binomial"	"susprindum_pbc"	"1.45"	"0.06"	"0.0000"	"1.29"	"1.63"
"16"	"simplest, binomial"	"susprindum_mar"	"1.03"	"0.10"	"0.7616"	"0.84"	"1.26"
"17"	"full, binomial"	"(Intercept)"	"22932692.16"	"18.25"	"0.3532"	"0.00"	"79212038335995616168448.00"
"18"	"full, binomial"	"policonsumo2"	"1.14"	"0.06"	"0.0244"	"1.02"	"1.27"
"19"	"full, binomial"	"comp_bpsc_y2_moderate"	"1.17"	"0.09"	"0.0676"	"0.99"	"1.39"
"20"	"full, binomial"	"comp_bpsc_y3_severe"	"1.20"	"0.09"	"0.0492"	"1.00"	"1.44"
"21"	"full, binomial"	"edad_al_ing_1"	"0.96"	"0.01"	"0.0001"	"0.95"	"0.98"
"22"	"full, binomial"	"ano_nac_corr"	"0.99"	"0.01"	"0.3770"	"0.97"	"1.01"
"23"	"full, binomial"	"esc_dum_rec_3prim"	"1.52"	"0.07"	"0.0000"	"1.31"	"1.76"
"24"	"full, binomial"	"esc_dum_rec_2high"	"1.33"	"0.07"	"0.0000"	"1.16"	"1.51"
"25"	"full, binomial"	"susprindum_oh"	"1.72"	"0.16"	"0.0010"	"1.24"	"2.37"
"26"	"full, binomial"	"susprindum_coc"	"2.10"	"0.17"	"0.0000"	"1.51"	"2.93"
"27"	"full, binomial"	"susprindum_pbc"	"2.35"	"0.16"	"0.0000"	"1.71"	"3.23"
"28"	"full, binomial"	"susprindum_mar"	"1.71"	"0.18"	"0.0032"	"1.20"	"2.45"
"29"	"full, binomial"	"freq_cons_dum_5day"	"0.93"	"0.11"	"0.4977"	"0.74"	"1.16"
"30"	"full, binomial"	"freq_cons_dum_44to6wk"	"0.92"	"0.12"	"0.4744"	"0.72"	"1.16"
"31"	"full, binomial"	"freq_cons_dum_32to3wk"	"0.92"	"0.12"	"0.4566"	"0.73"	"1.15"
"32"	"full, binomial"	"freq_cons_dum_21wkmore"	"0.76"	"0.14"	"0.0468"	"0.57"	"1.00"
"33"	"full, binomial"	"cond_oc_dum_3unemp"	"0.93"	"0.06"	"0.2124"	"0.84"	"1.04"
"34"	"full, binomial"	"cond_oc_dum_2inact"	"0.80"	"0.07"	"0.0006"	"0.70"	"0.91"
"35"	"full, binomial"	"viv_dum_illegal"	"0.88"	"0.21"	"0.5442"	"0.58"	"1.33"
"36"	"full, binomial"	"viv_dum_own"	"1.12"	"0.14"	"0.4123"	"0.86"	"1.46"
"37"	"full, binomial"	"viv_dum_rent"	"1.20"	"0.14"	"0.2022"	"0.91"	"1.58"
"38"	"full, binomial"	"viv_dum_temp"	"1.19"	"0.14"	"0.2051"	"0.91"	"1.55"
"39"	"full, binomial"	"psycom_dum_with"	"1.07"	"0.05"	"0.1989"	"0.97"	"1.18"
"40"	"full, binomial"	"psycom_dum_study"	"2.09"	"0.07"	"0.0000"	"1.81"	"2.42"
"41"	"full, binomial"	"susinidum_oh"	"0.91"	"0.15"	"0.5355"	"0.68"	"1.22"
"42"	"full, binomial"	"susinidum_coc"	"0.84"	"0.19"	"0.3543"	"0.58"	"1.22"
"43"	"full, binomial"	"susinidum_pbc"	"0.95"	"0.17"	"0.7677"	"0.68"	"1.33"
"44"	"full, binomial"	"susinidum_mar"	"1.02"	"0.15"	"0.9191"	"0.75"	"1.37"
"45"	"full, binomial"	"cohab_dum_alone"	"1.07"	"0.11"	"0.5230"	"0.86"	"1.33"
"46"	"full, binomial"	"cohab_dum_fam_or"	"0.99"	"0.09"	"0.8658"	"0.83"	"1.17"
"47"	"full, binomial"	"cohab_dum_cpl_child"	"0.97"	"0.09"	"0.7074"	"0.81"	"1.15"
"48"	"simplest, poisson"	"(Intercept)"	"38.50"	"4.57"	"0.4247"	"0.00"	"300458.80"
